ID,WRKSTAT,MARITAL,SPWRKSTA,SIBS,CHILDS,AGE,SEX,INCOM16,POLVIEWS,CAPPUN,COURTS,GRASS,RELITEN,POSTLIFE,PRAY,HAPPY,HAPMAR,HEALTH1,LIFE,HELPFUL,FAIR,TRUST,CONBUS,CONCLERG,CONEDUC,CONPRESS,CONMEDIC,SOCREL,SOCFREND,SOCBAR,AGED,CHLDIDEL,PILLOK,SEXEDUC,DIVLAW,PREMARSX,XMARSEX,OWNGUN,NEWS,TVHOURS,NEWSFROM,SCIFROM,ASTROLGY,SCIBNFTS,COLDEG1,USWAR,USWARY
1939,5,1,5,9,4,73,2,3,4,2,2,2,1,1,2,1,1,NA,2,1,2,2,3,2,3,3,3,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,1,5,2,1,NA,NA,NA
1940,1,1,1,1,2,32,2,2,4,1,2,1,2,1,2,2,1,2,NA,1,1,2,1,2,1,2,1,4,3,6,2,2,2,1,1,4,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA
1941,3,3,NA,3,2,44,2,4,3,2,2,1,2,1,2,2,NA,NA,1,3,2,2,2,2,2,2,2,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,NA,5,2,1,1,NA,NA,NA
1942,5,3,NA,3,5,66,1,3,4,1,2,1,1,1,1,2,NA,3,NA,2,2,1,2,1,2,2,1,1,4,7,1,2,4,1,2,1,NA,NA,1,6,5,5,2,1,NA,2,NA
1943,7,5,NA,3,1,30,2,3,6,2,NA,1,2,1,2,2,NA,NA,2,1,2,2,2,2,1,2,2,NA,NA,NA,2,NA,NA,NA,NA,NA,3,2,NA,NA,3,3,1,3,NA,NA,NA
1944,1,3,NA,6,2,31,2,1,4,1,2,NA,1,1,1,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,6,6,7,NA,7,3,2,1,4,1,2,5,0,NA,NA,NA,NA,NA,NA,1
1945,4,5,NA,6,0,21,1,3,1,2,1,1,4,NA,6,3,NA,4,NA,1,2,2,3,3,2,3,2,7,4,7,1,1,2,1,2,4,NA,NA,5,6,NA,NA,NA,NA,NA,1,NA
1946,1,3,NA,4,2,50,1,2,4,1,2,2,2,1,5,2,NA,NA,1,2,2,2,2,2,2,2,2,NA,NA,NA,3,NA,NA,NA,NA,NA,1,1,NA,NA,3,3,2,1,NA,NA,NA
1947,1,3,NA,3,1,49,2,3,3,1,2,2,2,1,2,2,NA,3,NA,1,1,2,2,2,2,2,2,2,7,6,1,2,2,1,1,4,NA,NA,4,7,9,5,1,1,NA,1,NA
1948,1,1,7,11,6,71,1,2,4,NA,2,1,3,1,2,2,2,NA,2,2,2,2,2,3,2,2,2,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,5,5,2,1,NA,NA,NA
